pg_direccion,pg_nombre,pg_descripcion,pg_numero_de_publicaciones,pg_seguidores,pg_seguidos,ph_descripcion,ph_likes,ph_fecha,ph_url,ph_nombre,ph_atributos,ph_numerado,ph_hora,ph_hashtags,ph_persona,ph_naturaleza,ph_animal,ph_text,ph_R,ph_G,ph_B,ph_WB
bbc_travel,BBC Travel,"🌍 Fall in love with the world every day
📸 Tag @bbc_travel or use #bbctravel
👇 Read our stories via the link below
linkmy.photos/bbc_travel
Le sigue bbcearth",27850.0,1600000,784,"Indulging in gujiya, a sweet fried pastry, may be the best way to celebrate Holi.

""Nothing signifies the changing seasons as do Holi and gujiya; the two are inextricably linked,"" said cookbook author Nandita Iyer, whose book The Great Indian Thali: Seasonal Vegetarian Wholesomeness was published last year.

📸 @saffrontrail",1388,2023-03-08,https://scontent-mad2-1.cdninstagram.com/v/t39.30808-6/335029900_1663947857398055_7516516483815471039_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-mad2-1.cdninstagram.com&_nc_cat=111&_nc_ohc=SlpZoQgNEwUAX8arvOf&edm=ACWDqb8AAAAA&ccb=7-5&ig_cache_key=MzA1NDAyMDI3ODI2MjE2NTYzNw%3D%3D.2-ccb7-5&oh=00_AfAl5F1r1Zovom46hgM08gY84DSr1oAHchdkeLD5HZou_A&oe=6415F49E&_nc_sid=1527a3,imagenpreubaB1-1.jpg,"Photo shared by BBC Travel on March 08, 2023 tagging @saffrontrail. May be an image of food and indoor.",1,15,[],0,0,0,0,0,0,0,0
bbc_travel,BBC Travel,"🌍 Fall in love with the world every day
📸 Tag @bbc_travel or use #bbctravel
👇 Read our stories via the link below
linkmy.photos/bbc_travel
Le sigue bbcearth",27850.0,1600000,784,"The cobbled backstreets of Nijmegen, a dynamic and progressive university city in the Netherlands.

Nijmegen rivals Amsterdam as a place known for its green initiatives and sustainability efforts. Its historic centre is car-free, it has 60km of cycling ""superhighways"", its buses run on green fuel, and there are schemes in place that encourage car-sharing.

📸 Frans Blok/Getty Images",3234,2023-03-07,https://scontent-mad1-1.cdninstagram.com/v/t51.2885-15/334722259_115632111370051_4107297159275613424_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=t2gjmwpw1_cAX9TMnE_&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA1MzM5MjE1MTYxMDg5NDQ0Mw%3D%3D.2-ccb7-5&oh=00_AfAyTCcpQ9L1yQdtCJkkeOUvu0xWCGsq5xN6wgcw419tGA&oe=64166448&_nc_sid=1527a3,imagenpreubaB2-1.jpg,"Photo by BBC Travel in Nijmegen, Netherlands. May be an image of outdoors and brick wall.",2,18,[],0,0,0,0,0,0,0,0
bbc_travel,BBC Travel,"🌍 Fall in love with the world every day
📸 Tag @bbc_travel or use #bbctravel
👇 Read our stories via the link below
linkmy.photos/bbc_travel
Le sigue bbcearth",27850.0,1600000,784,"Hveravellir: one of Iceland's most popular geothermal hot spots.⁣
⁣
📸 @kahwailin",1709,2023-03-04,https://scontent-mad2-1.cdninstagram.com/v/t51.2885-15/334110719_204883188880101_6119244206087964542_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mad2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=0gtJFX6ZaZoAX_vEV3O&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA1MTExNjA5ODk0NjY4MzcxMg%3D%3D.2-ccb7-5&oh=00_AfCGx3pO7CJaHNx5RCxiqrGkO-pB1HvkFq7YHdfhfdTzyA&oe=641620DB&_nc_sid=1527a3,imagenpreubaB3-1.jpg,Photo by BBC Travel in Hveravellir. May be an image of outdoors.,3,14,[],0,0,0,0,0,0,0,0
bbc_travel,BBC Travel,"🌍 Fall in love with the world every day
📸 Tag @bbc_travel or use #bbctravel
👇 Read our stories via the link below
linkmy.photos/bbc_travel
Le sigue bbcearth",27850.0,1600000,784,"Red-brick ruins of India's Nalanda University.

Founded in 427 CE, Nalanda is considered the world's first residential university. It was once home to nine million books and 10,000 students from across Eastern and Central Asia.

As the Dalai Lama once stated: ""The source of all the [Buddhist] knowledge we have, has come from Nalanda.""

📸 bambam kumar jha/Getty Images",5195,2023-03-03,https://scontent-mad1-1.cdninstagram.com/v/t51.2885-15/334521182_733106331551403_8846898834012153231_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=LT7J5w92S7sAX_ZLY6F&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA1MDQ0MTc0OTI0NDM0MjI3Mg%3D%3D.2-ccb7-5&oh=00_AfAaXr2GPvsm8wZw9IMlKXU0na6Yrl3OsdbcDW-uRt1CUg&oe=6416AD39&_nc_sid=1527a3,imagenpreubaB4-1.jpg,"Photo by BBC Travel on March 03, 2023. May be an image of monument and outdoors.",4,16,[],0,0,0,0,0,0,0,0
bbc_travel,BBC Travel,"🌍 Fall in love with the world every day
📸 Tag @bbc_travel or use #bbctravel
👇 Read our stories via the link below
linkmy.photos/bbc_travel
Le sigue bbcearth",27850.0,1600000,784,"Red-brick ruins of India's Nalanda University.

Founded in 427 CE, Nalanda is considered the world's first residential university. It was once home to nine million books and 10,000 students from across Eastern and Central Asia.

As the Dalai Lama once stated: ""The source of all the [Buddhist] knowledge we have, has come from Nalanda.""

📸 bambam kumar jha/Getty Images",5195,2023-03-03,https://scontent-mad2-1.cdninstagram.com/v/t51.2885-15/334064249_745076763683505_4511912502965874400_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mad2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=Aq_nKNsHuxwAX85Ijn3&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA1MDQ0MTc0OTMyODE4MjY3OQ%3D%3D.2-ccb7-5&oh=00_AfDT7sISdna7MEI07SaGTnLxOnbUcPmr4RhTpnET0M4d0w&oe=641717FF&_nc_sid=1527a3,imagenpreubaB4-2.jpg,"Photo by BBC Travel on March 03, 2023. May be an image of outdoors and brick wall.",4,16,[],0,0,0,0,0,0,0,0
bbc_travel,BBC Travel,"🌍 Fall in love with the world every day
📸 Tag @bbc_travel or use #bbctravel
👇 Read our stories via the link below
linkmy.photos/bbc_travel
Le sigue bbcearth",27850.0,1600000,784,"Red-brick ruins of India's Nalanda University.

Founded in 427 CE, Nalanda is considered the world's first residential university. It was once home to nine million books and 10,000 students from across Eastern and Central Asia.

As the Dalai Lama once stated: ""The source of all the [Buddhist] knowledge we have, has come from Nalanda.""

📸 bambam kumar jha/Getty Images",5195,2023-03-03,https://scontent-mad1-1.cdninstagram.com/v/t51.2885-15/333457322_743278843987563_919837938219423922_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=dt05CKKtjzUAX8VcjGH&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA1MDQ0MTc0OTIyNzUxOTIzMw%3D%3D.2-ccb7-5&oh=00_AfDYQOxkKGBq_oow7kQ-RhTj_OKLJTfJ6LLEJXiAtRhAsg&oe=6415FA88&_nc_sid=1527a3,imagenpreubaB4-3.jpg,"Photo by BBC Travel on March 03, 2023. May be an image of outdoors and brick wall.",4,16,[],0,0,0,0,0,0,0,0
bbc_travel,BBC Travel,"🌍 Fall in love with the world every day
📸 Tag @bbc_travel or use #bbctravel
👇 Read our stories via the link below
linkmy.photos/bbc_travel
Le sigue bbcearth",27850.0,1600000,784,"Red-brick ruins of India's Nalanda University.

Founded in 427 CE, Nalanda is considered the world's first residential university. It was once home to nine million books and 10,000 students from across Eastern and Central Asia.

As the Dalai Lama once stated: ""The source of all the [Buddhist] knowledge we have, has come from Nalanda.""

📸 bambam kumar jha/Getty Images",5195,2023-03-03,https://scontent-mad1-1.cdninstagram.com/v/t51.2885-15/332946602_155901713953731_3729208433656373589_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=xO3rNR7uO4wAX9eq5ud&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA1MDQ0MTc0OTMzNjUyOTQ3Ng%3D%3D.2-ccb7-5&oh=00_AfD0JkeFnOZ3JoRURvUY3I-5W08-mFybdh8yLVl2-gEhOg&oe=6416488E&_nc_sid=1527a3,imagenpreubaB4-4.jpg,"Photo by BBC Travel on March 03, 2023. May be an image of outdoors and brick wall.",4,16,[],0,0,0,0,0,0,0,0
bbc_travel,BBC Travel,"🌍 Fall in love with the world every day
📸 Tag @bbc_travel or use #bbctravel
👇 Read our stories via the link below
linkmy.photos/bbc_travel
Le sigue bbcearth",27850.0,1600000,784,"Urbania, Italy, has a special connection to a common root vegetable.

The city is home to “onion oracles”, who predict the weather with onion wedges, a practice observed since the Middle Ages.

Photos and story by @thetravellinglight ✨",1914,2023-03-01,https://scontent-mad1-1.cdninstagram.com/v/t51.2885-15/334142796_641828331037320_127962394317651163_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=71Y2Xznb1roAX8oTCrZ&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA0ODk5MDA2Mjc3MjE5NTU0MA%3D%3D.2-ccb7-5&oh=00_AfBOWkKnTGTryDi_xNdAIMco1U_YMlgpIXCReRMwxyXKtg&oe=641676F7&_nc_sid=1527a3,imagenpreubaB5-1.jpg,"Photo shared by BBC Travel on March 01, 2023 tagging @thetravellinglight. May be an image of monument and outdoors.",5,16,[],0,0,0,0,0,0,0,0
bbc_travel,BBC Travel,"🌍 Fall in love with the world every day
📸 Tag @bbc_travel or use #bbctravel
👇 Read our stories via the link below
linkmy.photos/bbc_travel
Le sigue bbcearth",27850.0,1600000,784,"Urbania, Italy, has a special connection to a common root vegetable.

The city is home to “onion oracles”, who predict the weather with onion wedges, a practice observed since the Middle Ages.

Photos and story by @thetravellinglight ✨",1914,2023-03-01,https://scontent-mad2-1.cdninstagram.com/v/t51.2885-15/333634171_1186753668625148_5355255211050087486_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mad2-1.cdninstagram.com&_nc_cat=108&_nc_ohc=tB6djYw_aMQAX92JKnB&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA0ODk5MDA2Mjc4ODc4MDQ5Ng%3D%3D.2-ccb7-5&oh=00_AfCk59f0zmVtkCD6gVXzePP-Kq4YLqC0rOJTkc2uCPDmKg&oe=6416E2C6&_nc_sid=1527a3,imagenpreubaB5-2.jpg,"Photo by BBC Travel on March 01, 2023. May be an image of monument and outdoors.",5,16,[],0,0,0,0,0,0,0,0
bbc_travel,BBC Travel,"🌍 Fall in love with the world every day
📸 Tag @bbc_travel or use #bbctravel
👇 Read our stories via the link below
linkmy.photos/bbc_travel
Le sigue bbcearth",27850.0,1600000,784,"Urbania, Italy, has a special connection to a common root vegetable.

The city is home to “onion oracles”, who predict the weather with onion wedges, a practice observed since the Middle Ages.

Photos and story by @thetravellinglight ✨",1914,2023-03-01,https://scontent-mad2-1.cdninstagram.com/v/t51.2885-15/333681396_213114414595353_8519246561305031095_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mad2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=HXfX2dMzTqAAX8P1EU4&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA0ODk5MDA2Mjc4MDQ1NDQwOA%3D%3D.2-ccb7-5&oh=00_AfAj7S6ezqBEe1Mbf1-SefAgA5LPpnL_g0f7eGht-0x2LQ&oe=641684C7&_nc_sid=1527a3,imagenpreubaB5-3.jpg,"Photo by BBC Travel on March 01, 2023. May be an image of monument, outdoors and castle.",5,16,[],0,0,0,0,0,0,0,0
bbc_travel,BBC Travel,"🌍 Fall in love with the world every day
📸 Tag @bbc_travel or use #bbctravel
👇 Read our stories via the link below
linkmy.photos/bbc_travel
Le sigue bbcearth",27850.0,1600000,784,"Urbania, Italy, has a special connection to a common root vegetable.

The city is home to “onion oracles”, who predict the weather with onion wedges, a practice observed since the Middle Ages.

Photos and story by @thetravellinglight ✨",1914,2023-03-01,https://scontent-mad2-1.cdninstagram.com/v/t51.2885-15/333975916_652215343253711_7339717786428033343_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mad2-1.cdninstagram.com&_nc_cat=111&_nc_ohc=67lN82FiBSwAX9KrM7p&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA0ODk5MDA2Mjc4ODk5NzQ2Mw%3D%3D.2-ccb7-5&oh=00_AfBdS_WsQWXwtmXFdxFVWoioAX2kZd-5t43griweCCrCbQ&oe=64175200&_nc_sid=1527a3,imagenpreubaB5-4.jpg,"Photo by BBC Travel on March 01, 2023. May be an image of door, outdoors and brick wall.",5,16,[],0,0,0,0,0,0,0,0
bbc_travel,BBC Travel,"🌍 Fall in love with the world every day
📸 Tag @bbc_travel or use #bbctravel
👇 Read our stories via the link below
linkmy.photos/bbc_travel
Le sigue bbcearth",27850.0,1600000,784,"Urbania, Italy, has a special connection to a common root vegetable.

The city is home to “onion oracles”, who predict the weather with onion wedges, a practice observed since the Middle Ages.

Photos and story by @thetravellinglight ✨",1914,2023-03-01,https://scontent-mad1-1.cdninstagram.com/v/t51.2885-15/333997233_524809302890268_517096640191073240_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=OTl75uQ5cfgAX8x-ttI&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA0ODk5MDA2Mjg3MjY3NzY5Nw%3D%3D.2-ccb7-5&oh=00_AfB3FfMP__ND2RTKTFpE7Q1ilHLrQibv49Yk83m4lltZ6w&oe=64173387&_nc_sid=1527a3,imagenpreubaB5-5.jpg,"Photo by BBC Travel on March 01, 2023. May be an image of food and indoor.",5,16,[],0,0,0,0,0,0,0,0
