pg_direccion,pg_nombre,pg_descripcion,pg_numero_de_publicaciones,pg_seguidores,pg_seguidos,ph_descripcion,ph_likes,ph_fecha,ph_url,ph_nombre,ph_atributos,ph_numerado,ph_hora,ph_hashtags,ph_persona,ph_naturaleza,ph_animal,ph_text,ph_R,ph_G,ph_B,ph_WB
natgeotravel,National Geographic Travel,"It’s a big world. Explore it through the lens of our photographers.
on.natgeo.com/natgeotravel
natgeoexpeditions, natgeotv, natgeoadventure y 8 más siguen esta cuenta",27850.0,46500000,99,"Photo by @daisygilardini | The Norwegian archipelago of Svalbard lies midway between Norway and the North Pole. One of the last real Arctic wildernesses, it has breathtaking landscapes and teems with wildlife—polar bears, foxes, reindeer, walruses, whales, and all sorts of bird life. Almost 60 percent of the archipelago is covered by glacier ice, which unfortunately—as elsewhere on the planet—is disappearing due to climate change. I photographed this wonderful blue iceberg while cruising one of the many fjords. Follow me @daisygilardini for more images and behind-the-scenes stories. #svalbard #iceberg #arctic #conservation #climatechange",36364,2023-03-12,https://scontent-mad2-1.cdninstagram.com/v/t51.2885-15/334848354_2413572165474213_8312133261100032737_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mad2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=owd-22dN_hwAX8H1dMm&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA1Njk0OTUzNzcyMTU5NjU1Mg%3D%3D.2-ccb7-5&oh=00_AfCeybXv0D8ixGHeTjINpp7skJar4RvZ8_dc4CRzu-C-uw&oe=6416AAD4&_nc_sid=1527a3,imagenpreubaC2-1.jpg,"Photo by National Geographic Travel on March 12, 2023. May be an image of body of water and nature.",2,16,"['#svalbard', '#iceberg', '#arctic', '#conservation', '#climatechange']",0,1,0,0,0,0,1,0
natgeotravel,National Geographic Travel,"It’s a big world. Explore it through the lens of our photographers.
on.natgeo.com/natgeotravel
natgeoexpeditions, natgeotv, natgeoadventure y 8 más siguen esta cuenta",27850.0,46500000,99,"Photo by Muhammed Muheisen @mmuheisen | People gather at Place du Trocadéro, which overlooks the Eiffel Tower in Paris, France. For more photos and videos from different parts of the world, follow me @mmuheisen and @mmuheisenpublic. #MuhammedMuheisen #Paris #France #EiffelTower",48575,2023-03-11,https://scontent-mad2-1.cdninstagram.com/v/t51.2885-15/334595755_221328407059571_9198019165612501624_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mad2-1.cdninstagram.com&_nc_cat=111&_nc_ohc=1Ka88tle2fcAX8k1BqH&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA1NjI1NTAwNjQ1MzgwNzc5Ng%3D%3D.2-ccb7-5&oh=00_AfBhuc61Cy0N4vAHIl-oUUU2O7mqYEaAamKzF26w6gQhbA&oe=6417513A&_nc_sid=1527a3,imagenpreubaC3-1.jpg,"Photo by National Geographic Travel on March 11, 2023. May be an image of 12 people, monument and outdoors.",3,17,"['#MuhammedMuheisen', '#Paris', '#France', '#EiffelTower']",1,0,0,0,0,1,0,0
natgeotravel,National Geographic Travel,"It’s a big world. Explore it through the lens of our photographers.
on.natgeo.com/natgeotravel
natgeoexpeditions, natgeotv, natgeoadventure y 8 más siguen esta cuenta",27850.0,46500000,99,"Photos by @juancristobalcobo | A walk in the woods in El Retiro, Antioquia, Colombia, brings out my curiosity toward the little details of nature and light that pop in front of my camera. #antioquia #colombia #juancristobalcobo",44385,2023-03-11,https://scontent-mad1-1.cdninstagram.com/v/t51.2885-15/334467808_751615039868082_696585916939553121_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=c5gzwOlNW3MAX-8Os-Q&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA1NTc3MTc3OTE2MzI2NDM3OQ%3D%3D.2-ccb7-5&oh=00_AfAVkG4DF_tvxfirV1ClTERIaF62DeMD1EUF3VJCYa-N6g&oe=6415928C&_nc_sid=1527a3,imagenpreubaC4-1.jpg,"Photo by National Geographic Travel on March 10, 2023. May be an image of flower and nature.",4,1,"['#antioquia', '#colombia', '#juancristobalcobo']",0,1,0,0,0,1,0,0
natgeotravel,National Geographic Travel,"It’s a big world. Explore it through the lens of our photographers.
on.natgeo.com/natgeotravel
natgeoexpeditions, natgeotv, natgeoadventure y 8 más siguen esta cuenta",27850.0,46500000,99,"Photos by @juancristobalcobo | A walk in the woods in El Retiro, Antioquia, Colombia, brings out my curiosity toward the little details of nature and light that pop in front of my camera. #antioquia #colombia #juancristobalcobo",44385,2023-03-11,https://scontent-mad1-1.cdninstagram.com/v/t51.2885-15/332368880_222738190231968_7813012170401455793_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=bIQ-XRLwS3IAX-GVrXz&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA1NTc3MTc4NTU1NTU1NDAxNg%3D%3D.2-ccb7-5&oh=00_AfBLg3ugpi_qitvjG8midxCsSn9epySSuou8Uo2_aL8oIA&oe=6416D8E0&_nc_sid=1527a3,imagenpreubaC4-2.jpg,"Photo by National Geographic Travel on March 10, 2023. May be an image of nature.",4,1,"['#antioquia', '#colombia', '#juancristobalcobo']",0,1,0,0,0,1,0,0
natgeotravel,National Geographic Travel,"It’s a big world. Explore it through the lens of our photographers.
on.natgeo.com/natgeotravel
natgeoexpeditions, natgeotv, natgeoadventure y 8 más siguen esta cuenta",27850.0,46500000,99,"Photos by @juancristobalcobo | A walk in the woods in El Retiro, Antioquia, Colombia, brings out my curiosity toward the little details of nature and light that pop in front of my camera. #antioquia #colombia #juancristobalcobo",44385,2023-03-11,https://scontent-mad2-1.cdninstagram.com/v/t51.2885-15/334661414_1251188535773632_1094345153043143533_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mad2-1.cdninstagram.com&_nc_cat=104&_nc_ohc=V99tDbp3Cl0AX9rTEKt&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA1NTc3MTc3NjY5NzIyOTY4Mg%3D%3D.2-ccb7-5&oh=00_AfAktkR02ww9smvdbpPJUf-5N8Kbh5FoUO6BOjkD2rV4Bg&oe=6417455A&_nc_sid=1527a3,imagenpreubaC4-3.jpg,"Photo by National Geographic Travel on March 10, 2023. May be an image of nature.",4,1,"['#antioquia', '#colombia', '#juancristobalcobo']",0,1,0,0,0,1,0,0
natgeotravel,National Geographic Travel,"It’s a big world. Explore it through the lens of our photographers.
on.natgeo.com/natgeotravel
natgeoexpeditions, natgeotv, natgeoadventure y 8 más siguen esta cuenta",27850.0,46500000,99,"Photos by @juancristobalcobo | A walk in the woods in El Retiro, Antioquia, Colombia, brings out my curiosity toward the little details of nature and light that pop in front of my camera. #antioquia #colombia #juancristobalcobo",44385,2023-03-11,https://scontent-mad2-1.cdninstagram.com/v/t51.2885-15/332686416_921189165669848_588673684973377100_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mad2-1.cdninstagram.com&_nc_cat=108&_nc_ohc=5vko7tec3MAAX97npsg&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA1NTc3MTc3NzcyODg0MTY4NQ%3D%3D.2-ccb7-5&oh=00_AfDYU6HlqF6Ik645Yqx46pmh1CvIWNDriYYefW-zvmsVsA&oe=6416C729&_nc_sid=1527a3,imagenpreubaC4-4.jpg,"Photo by National Geographic Travel on March 10, 2023. May be a closeup of nature.",4,1,"['#antioquia', '#colombia', '#juancristobalcobo']",0,1,0,0,1,0,0,0
natgeotravel,National Geographic Travel,"It’s a big world. Explore it through the lens of our photographers.
on.natgeo.com/natgeotravel
natgeoexpeditions, natgeotv, natgeoadventure y 8 más siguen esta cuenta",27850.0,46500000,99,"Photo by @nicholesobecki | The steep, winding road to the top of Jebel Hafit is the desert’s answer to California’s famed Highway 1, attracting roadsters, bikers, and hikers from across the globe. This is the highest mountain in Abu Dhabi and one of the highest in the United Arab Emirates. An extension of Al Ain, the first site in the Emirates to be designated as a UNESCO World Heritage site, Jebel Hafit has been inhabited since prehistoric times. In the Al Ain oasis at the base of the mountain rest tombs dating back thousands of years. Today, Al Ain continues to thrive, hosting a population of more than half a million people who keep this ancient caravan route alive. | Abu Dhabi welcomes you. It is a cultural destination that embraces creativity and exchange, inspiring your curiosity. @visitabudhabi and connect with what matters to you. #InAbuDhabi",17893,2023-03-10,https://scontent-mad1-1.cdninstagram.com/v/t51.2885-15/332600582_740133047628173_3339875920410856235_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=RFGE9bRewbsAX-j_qCQ&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA1NTY4NTQyMDkwMDk1NjA1Ng%3D%3D.2-ccb7-5&oh=00_AfDCkB9UFKmmoLy9xvJrBVA97Fe-IBRTbQFBsqqvFRZtjg&oe=6417794A&_nc_sid=1527a3,imagenpreubaC5-1.jpg,"Photo by National Geographic Travel on March 10, 2023. May be an image of road.",5,22,['#InAbuDhabi'],0,0,0,0,1,0,0,0
natgeotravel,National Geographic Travel,"It’s a big world. Explore it through the lens of our photographers.
on.natgeo.com/natgeotravel
natgeoexpeditions, natgeotv, natgeoadventure y 8 más siguen esta cuenta",27850.0,46500000,99,"Photo by @dina_litovsky | Mexico City is one of my favorite cities in the world. I love exploring its streets and numerous parks, plazas, and markets, which present an array of vignettes and glimpses into the lives of the people living in Mexico’s capital. For more images, follow me @dina_litovsky.",21765,2023-03-08,https://scontent-mad1-1.cdninstagram.com/v/t51.2885-15/332180185_892280455398931_1005827109481715034_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=ySTYOJNpqiYAX8Uk-Ux&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA1NDA4MDY0MzM5MDU1NzU3Ng%3D%3D.2-ccb7-5&oh=00_AfDqwti-F-wWEZEKHliK-e1dLx8WWY4gU098E8305uoBsg&oe=64173918&_nc_sid=1527a3,imagenpreubaC8-1.jpg,"Photo by National Geographic Travel on March 08, 2023. May be an image of 1 person and child.",8,17,[],1,0,0,0,1,0,0,0
natgeotravel,National Geographic Travel,"It’s a big world. Explore it through the lens of our photographers.
on.natgeo.com/natgeotravel
natgeoexpeditions, natgeotv, natgeoadventure y 8 más siguen esta cuenta",27850.0,46500000,99,"Photo by @dina_litovsky | Mexico City is one of my favorite cities in the world. I love exploring its streets and numerous parks, plazas, and markets, which present an array of vignettes and glimpses into the lives of the people living in Mexico’s capital. For more images, follow me @dina_litovsky.",21765,2023-03-08,https://scontent-mad1-1.cdninstagram.com/v/t51.2885-15/334394535_1907865069561336_1711778441765913434_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=t8GzucnA_dIAX92p9Py&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA1NDA4MDY0OTYxNDkzNTE4Ng%3D%3D.2-ccb7-5&oh=00_AfA0phamsjRDeSdMNjab4bmQEcVtlDoluVTZ7FaO_6J2pg&oe=64173A3A&_nc_sid=1527a3,imagenpreubaC8-2.jpg,"Photo by National Geographic Travel on March 08, 2023. May be an image of 1 person and indoor.",8,17,[],1,0,0,0,0,1,0,0
natgeotravel,National Geographic Travel,"It’s a big world. Explore it through the lens of our photographers.
on.natgeo.com/natgeotravel
natgeoexpeditions, natgeotv, natgeoadventure y 8 más siguen esta cuenta",27850.0,46500000,99,"Photo by @dina_litovsky | Mexico City is one of my favorite cities in the world. I love exploring its streets and numerous parks, plazas, and markets, which present an array of vignettes and glimpses into the lives of the people living in Mexico’s capital. For more images, follow me @dina_litovsky.",21765,2023-03-08,https://scontent-mad2-1.cdninstagram.com/v/t51.2885-15/334033864_1558957411181039_6403385884839995741_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mad2-1.cdninstagram.com&_nc_cat=111&_nc_ohc=ZOd-EAfnSP8AX-BhE3j&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA1NDA4MDY0NjU2OTkwMTMyMw%3D%3D.2-ccb7-5&oh=00_AfBgfErcLzQDs_EAfJKqNZM-6FsXjlGqXM-aUM6OeQw5Bg&oe=64159DCB&_nc_sid=1527a3,imagenpreubaC8-3.jpg,"Photo by National Geographic Travel on March 08, 2023. May be an image of 2 people, train and indoor.",8,17,[],1,0,0,0,1,0,0,0
