pg_direccion,pg_nombre,pg_descripcion,pg_numero_de_publicaciones,pg_seguidores,pg_seguidos,ph_descripcion,ph_likes,ph_fecha,ph_url,ph_nombre,ph_atributos,ph_numerado
natgeo,National Geographic,"Experience the world through the eyes of National Geographic photographers.
on.natgeo.com/instagram
animalplanet, wildlife_photography_india, natgeowild y 17 más siguen esta cuenta",27.852,266 M,140,,,,,,,
,,,,,,"Photos by @jenguyton | Cyclone Freddy, which made landfall in Mozambique for the second time last Saturday, is shattering records for the longest lasting and most energetic storm. Freddy has killed dozens of people in Mozambique and Malawi.

Climate change intensifies such weather events the world over. These images are from another record-busting storm, Cyclone Idai. On March 15, 2019, it made landfall in Beira, Mozambique, and claimed more than 1,300 people, making it one of the deadliest storms on record in the Southern Hemisphere. Thousands were displaced when their homes collapsed or flooded; many lived in Gorongosa National Park’s adjacent buffer zone.

Park staff put their usual work on hold to respond to the crisis. Before the major aid agencies had organized relief, rangers began to fly food and supplies to communities that had been cut off by floodwaters from the outside world, their crops and food stores destroyed.

I made these images while riding along with relief teams in the park's buffer zone. Joana Vitor (above) went into labor in the midst of the cyclone. As her house fell around her, she gave birth, alone and unaided. Here, baby Teresa is three weeks old and healthy. Behind them, a park helicopter arrives with emergency supplies. In the other images: people await food distribution in the Bebedo community, and others bring food parcels home in a community called Machongo Barada.",24.793 Me gusta,2023-03-15T13:01:21.000Z,https://scontent-mad2-1.cdninstagram.com/v/t51.2885-15/335936523_782245003332471_8451598338803728655_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mad2-1.cdninstagram.com&_nc_cat=1&_nc_ohc=D0A6JvZSLJUAX_Tz99r&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA1OTAzMzMxNzkxNzU1MDczMg%3D%3D.2-ccb7-5&oh=00_AfDaFEtxl67m8l_3u-6a73KQ5t9w1riAyrEDEN0UoE1fIQ&oe=64162F90&_nc_sid=1527a3,imagenpreubaH1-1.jpg,"Photo by National Geographic on March 15, 2023. May be an image of 7 people, child and outdoors.",1
,,,,,,"Photos by @jenguyton | Cyclone Freddy, which made landfall in Mozambique for the second time last Saturday, is shattering records for the longest lasting and most energetic storm. Freddy has killed dozens of people in Mozambique and Malawi.

Climate change intensifies such weather events the world over. These images are from another record-busting storm, Cyclone Idai. On March 15, 2019, it made landfall in Beira, Mozambique, and claimed more than 1,300 people, making it one of the deadliest storms on record in the Southern Hemisphere. Thousands were displaced when their homes collapsed or flooded; many lived in Gorongosa National Park’s adjacent buffer zone.

Park staff put their usual work on hold to respond to the crisis. Before the major aid agencies had organized relief, rangers began to fly food and supplies to communities that had been cut off by floodwaters from the outside world, their crops and food stores destroyed.

I made these images while riding along with relief teams in the park's buffer zone. Joana Vitor (above) went into labor in the midst of the cyclone. As her house fell around her, she gave birth, alone and unaided. Here, baby Teresa is three weeks old and healthy. Behind them, a park helicopter arrives with emergency supplies. In the other images: people await food distribution in the Bebedo community, and others bring food parcels home in a community called Machongo Barada.",24.793 Me gusta,2023-03-15T13:01:21.000Z,https://scontent-mad2-1.cdninstagram.com/v/t51.2885-15/335764007_896618921573538_2800281139125040460_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mad2-1.cdninstagram.com&_nc_cat=1&_nc_ohc=lx57GwV45tgAX_1CmGU&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA1OTAzMzg1NTA5MDMzNzY1Nw%3D%3D.2-ccb7-5&oh=00_AfCeyF-P7kgpq1x4k_B7VevRf3VjO3pW9i34BBhooy5TcA&oe=6415F0BD&_nc_sid=1527a3,imagenpreubaH1-2.jpg,"Photo by National Geographic on March 15, 2023. May be an image of 6 people, child, people walking, people standing and body of water.",1
,,,,,,,,,,,,
,,,,,,"Photos by Eduard Florin Niga @eduardflorinnigaphotography | Ants are my absolute favorite subject to photograph. I find myself browsing endlessly through my galleries of ants, and I realize that I may sometimes forget the names of some of the species I imaged over the years, but I always remember how I felt when I created each photograph. Each time I relive a mixture of childlike curiosity, excitement, bewilderment, joy, and that secret feeling you get when you know you've experienced something very few may have.

What attracted me to ants in the first place was the discovery of how varied their ""faces"" are. The variation in color, size, shape, morphology, and texture is just extraordinary, and I'm convinced I will continue to be surprised by this for a very long time.

The process of imaging each of these tiny yet mighty beauties is hardly ever an easy one. Every ""portrait"" I create takes me a lot of time, patience (which I was told I lack), and hundreds and hundreds of carefully planned and expertly executed images that I then merge into the final frame I share with the big world. It involves countless sleepless nights, as I mainly work at night at the back of my house in a dimly lit, silent, vibration-free environment, an environment I imagine being very similar to an underground ants’ nest. Is it easy? No, not by any stretch of the imagination. But it is extremely rewarding, and the satisfaction I get from sharing these with the world and creating awareness out there is fANTastic. The only regret I have is not starting this adventure sooner.

Read the full story at the link in bio.",84.824 Me gusta,2023-03-15T00:01:16.000Z,https://scontent-mad2-1.cdninstagram.com/v/t51.2885-15/335778540_1182371995814928_7103117256007771331_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mad2-1.cdninstagram.com&_nc_cat=1&_nc_ohc=7n9BDbcQ-QMAX8IIFFz&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA1ODY0MDgyODI0ODE1Njc0MA%3D%3D.2-ccb7-5&oh=00_AfBS6ehDFborSpQusPfgeIAmc02wHHnNexgGzl6W1-W7jA&oe=641732E5&_nc_sid=1527a3,imagenpreubaH2-1.jpg,"Photo by National Geographic on March 14, 2023. May be a closeup of nature.",2
,,,,,,"Photos by Eduard Florin Niga @eduardflorinnigaphotography | Ants are my absolute favorite subject to photograph. I find myself browsing endlessly through my galleries of ants, and I realize that I may sometimes forget the names of some of the species I imaged over the years, but I always remember how I felt when I created each photograph. Each time I relive a mixture of childlike curiosity, excitement, bewilderment, joy, and that secret feeling you get when you know you've experienced something very few may have.

What attracted me to ants in the first place was the discovery of how varied their ""faces"" are. The variation in color, size, shape, morphology, and texture is just extraordinary, and I'm convinced I will continue to be surprised by this for a very long time.

The process of imaging each of these tiny yet mighty beauties is hardly ever an easy one. Every ""portrait"" I create takes me a lot of time, patience (which I was told I lack), and hundreds and hundreds of carefully planned and expertly executed images that I then merge into the final frame I share with the big world. It involves countless sleepless nights, as I mainly work at night at the back of my house in a dimly lit, silent, vibration-free environment, an environment I imagine being very similar to an underground ants’ nest. Is it easy? No, not by any stretch of the imagination. But it is extremely rewarding, and the satisfaction I get from sharing these with the world and creating awareness out there is fANTastic. The only regret I have is not starting this adventure sooner.

Read the full story at the link in bio.",84.824 Me gusta,2023-03-15T00:01:16.000Z,https://scontent-mad2-1.cdninstagram.com/v/t51.2885-15/335931632_542085058028500_1324786116508548452_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mad2-1.cdninstagram.com&_nc_cat=1&_nc_ohc=m44e7A-BknsAX-PanN9&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA1ODY0MTIyMjM0NDk2MDEyMg%3D%3D.2-ccb7-5&oh=00_AfAg94IcKlS3htGjlwvrRPFfWSoOmUTSpvNR4gP4Oj9_Iw&oe=6417A3AF&_nc_sid=1527a3,imagenpreubaH2-2.jpg,"Photo by National Geographic on March 14, 2023. May be an image of nature.",2
,,,,,,"Photos by Eduard Florin Niga @eduardflorinnigaphotography | Ants are my absolute favorite subject to photograph. I find myself browsing endlessly through my galleries of ants, and I realize that I may sometimes forget the names of some of the species I imaged over the years, but I always remember how I felt when I created each photograph. Each time I relive a mixture of childlike curiosity, excitement, bewilderment, joy, and that secret feeling you get when you know you've experienced something very few may have.

What attracted me to ants in the first place was the discovery of how varied their ""faces"" are. The variation in color, size, shape, morphology, and texture is just extraordinary, and I'm convinced I will continue to be surprised by this for a very long time.

The process of imaging each of these tiny yet mighty beauties is hardly ever an easy one. Every ""portrait"" I create takes me a lot of time, patience (which I was told I lack), and hundreds and hundreds of carefully planned and expertly executed images that I then merge into the final frame I share with the big world. It involves countless sleepless nights, as I mainly work at night at the back of my house in a dimly lit, silent, vibration-free environment, an environment I imagine being very similar to an underground ants’ nest. Is it easy? No, not by any stretch of the imagination. But it is extremely rewarding, and the satisfaction I get from sharing these with the world and creating awareness out there is fANTastic. The only regret I have is not starting this adventure sooner.

Read the full story at the link in bio.",84.824 Me gusta,2023-03-15T00:01:16.000Z,https://scontent-mad2-1.cdninstagram.com/v/t51.2885-15/336060812_167255512796767_7180969176678638676_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mad2-1.cdninstagram.com&_nc_cat=1&_nc_ohc=RW3dEA1NIx4AX9dBWiO&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA1ODY0MTAxMjgwNTkxMzQ0Mw%3D%3D.2-ccb7-5&oh=00_AfDIcvbt_Kh5rpCthcizmeHTKWqRILOir-s9UX8vvPTdyg&oe=64170D15&_nc_sid=1527a3,imagenpreubaH2-3.jpg,"Photo by National Geographic on March 14, 2023. May be a closeup of nature.",2
,,,,,,"Photos by Eduard Florin Niga @eduardflorinnigaphotography | Ants are my absolute favorite subject to photograph. I find myself browsing endlessly through my galleries of ants, and I realize that I may sometimes forget the names of some of the species I imaged over the years, but I always remember how I felt when I created each photograph. Each time I relive a mixture of childlike curiosity, excitement, bewilderment, joy, and that secret feeling you get when you know you've experienced something very few may have.

What attracted me to ants in the first place was the discovery of how varied their ""faces"" are. The variation in color, size, shape, morphology, and texture is just extraordinary, and I'm convinced I will continue to be surprised by this for a very long time.

The process of imaging each of these tiny yet mighty beauties is hardly ever an easy one. Every ""portrait"" I create takes me a lot of time, patience (which I was told I lack), and hundreds and hundreds of carefully planned and expertly executed images that I then merge into the final frame I share with the big world. It involves countless sleepless nights, as I mainly work at night at the back of my house in a dimly lit, silent, vibration-free environment, an environment I imagine being very similar to an underground ants’ nest. Is it easy? No, not by any stretch of the imagination. But it is extremely rewarding, and the satisfaction I get from sharing these with the world and creating awareness out there is fANTastic. The only regret I have is not starting this adventure sooner.

Read the full story at the link in bio.",84.824 Me gusta,2023-03-15T00:01:16.000Z,https://scontent-mad1-1.cdninstagram.com/v/t51.2885-15/335514214_1283781025605877_3617341147785208431_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=kXrU8LBSy_wAX-4rutQ&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA1ODY0MTIwOTIzMzY1MTU3Mw%3D%3D.2-ccb7-5&oh=00_AfB6FHFndWMWK8U2NTIMfUwHnUIuwW-pQXn2VU0fOQY8-w&oe=6417DAA2&_nc_sid=1527a3,imagenpreubaH2-4.jpg,"Photo by National Geographic on March 14, 2023. May be a closeup.",2
,,,,,,,,,,,,
,,,,,,"Photo by @stephenwilkes | During a winter scouting trip in Alaska several years ago, I discovered a frozen mountaintop lake. Our helicopter was able to land on it. It was bitter cold, but a truly magical experience seeing untouched glacial ice on a brilliant blue-sky day. The ice displays an endless array of patterns, colors, and textures. This was a detail shot of the ice, which dramatically changed in appearance as a snow gust blew in. Suddenly the scene began to resemble a mountain shot from above, but it's an illusion. To see more from my travels near and far, follow me @stephenwilkes.",77.341 Me gusta,2023-03-14T20:44:17.000Z,https://scontent-mad2-1.cdninstagram.com/v/t51.2885-15/335979155_931529888046920_3779531064816362223_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mad2-1.cdninstagram.com&_nc_cat=1&_nc_ohc=1hP3HpWJnL8AX8dbszf&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA1ODU0MjEzNjA5MDE4ODY2MA%3D%3D.2-ccb7-5&oh=00_AfA3vy3r_kElre40OXVFWl0SryT6mXrKpm4FidNo2VsKrg&oe=641633E0&_nc_sid=1527a3,imagenpreubaH3-1.jpg,"Photo by National Geographic on March 14, 2023. May be a closeup of outdoors.",3
